Company Name,Industry,CMP Rs.,Mar Cap Rs.Cr.,P/E,EV / EBITDA,Earnings Yield %,CMP / BV,ROE %,Sales growth %,Profit growth %,From 52w high,50 DMA Rs.,200 DMA Rs.,Last Close,Pivot,S1,S2,R1,R2,SMA50,SMA200,Trend,ATR,StopLoss,TargetPrice,_ticker,_fetched_at,_status
JSW Cement Ltd.,Construction Materials,128.66,17276.7,,17.084,,2.636092,-17.950001,10.9,708.8,20.65,126.64,126.53,128.66,130.9,129.79,128.87,131.82,132.93,126.64,126.53,Uptrend,3.38,121.89,135.43,JSWCEMENT.NS,2026-06-22 00:45:29,OK
Kalpataru Projects International Ltd.,Construction,1398.7,23894.49,22.998026,11.406,,3.0733883,14.513999,10.100000000000001,89.4,0.79,1270.56,1207.27,1398.7,1377.93,1351.57,1335.23,1394.27,1420.63,1270.56,1207.27,Uptrend,48.04,1302.61,1494.79,KPIL.NS,2026-06-22 00:45:30,OK
Kec International Ltd.,Construction,541.45,14428.04,23.834652,11.627,,2.3430746,10.524999,-7.000000000000001,-28.1,42.46,536.14,667.98,541.45,524.48,520.12,514.43,530.17,534.53,536.14,667.98,Sideways,15.39,510.67,572.23,KEC.NS,2026-06-22 00:45:31,OK
Larsen & Toubro Ltd.,Construction,4209.4,579156.31,35.976757,19.082,,5.2991304,16.951999,11.700000000000001,-34.5,4.27,3990.28,3889.64,4209.4,4200.17,4155.43,4120.87,4234.73,4279.47,3990.28,3889.64,Uptrend,84.19,4041.01,4377.79,LT.NS,2026-06-22 00:45:31,OK
NBCC (India) Ltd.,Construction,111.45,30183.3,41.86891,22.981,,10.048539,25.225002000000003,-2.5,37.8,11.33,97.74,102.82,111.45,111.34,108.39,106.63,113.1,116.05,97.74,102.82,Sideways,4.13,103.19,119.71,NBCC.NS,2026-06-22 00:45:32,OK
NCC Ltd.,Construction,155.84,9794.41,14.511628,6.598,,1.2452108,9.3219995,1.7000000000000002,-18.8,33.56,156.18,168.29,155.84,154.46,153.42,151.86,156.02,157.06,156.18,168.29,Downtrend,4.35,148.38,164.53,NCC.NS,2026-06-22 00:45:33,OK
Nuvoco Vistas Corporation Ltd.,Construction Materials,312.75,11143.27,30.98312,8.611,,1.0894159,3.742,8.7,-14.899999999999999,34.5,314.49,353.84,312.75,315.23,307.02,302.08,320.17,328.38,314.49,353.84,Downtrend,11.43,298.76,335.6,NUVOCO.NS,2026-06-22 00:45:34,OK
Rail Vikas Nigam Ltd.,Construction,243.99,50939.13,58.16905,71.091,,5.1702538,8.981,4.2,-59.099999999999994,39.33,272.1,307.83,243.99,248.08,244.79,241.99,250.88,254.17,272.1,307.83,Downtrend,7.31,258.49,258.62,RVNL.NS,2026-06-22 00:45:34,OK
RITES Ltd.,Construction,213.32,10260.41,25.028137,17.128,,3.8328545,16.396,24.8,-2.1999999999999997,26.57,212.13,225.86,213.32,212.28,210.11,208.05,214.34,216.51,212.13,225.86,Sideways,5.36,202.61,224.03,RITES.NS,2026-06-22 00:45:35,OK
Shree Cement Ltd.,Construction Materials,25075.0,90562.68,51.86486,31.631,,9.828549,,5.2,3.4000000000000004,22.6,24826.8,26472.51,25075.0,25225.0,24980.0,24550.0,25655.0,25900.0,24826.8,26472.51,Sideways,589.64,23895.71,26254.29,SHREECEM.NS,2026-06-22 00:45:36,OK
